"","price","bedrooms","bathrooms","sqft","neighborhood","status","address"
"1",4100000,4,"5",2940,"Park Slope","sold","336A 4th St, Brooklyn, NY 11215"
"2",1020000,3,"1",NA,"Park Slope","sold","411 15th St #K, Brooklyn, NY 11215"
"3",45000,0,"1",NA,"Park Slope","sold","65 Saint Johns Pl #D, Brooklyn, NY 11217"
"4",45000,0,"1",NA,"Park Slope","sold","65 Saint Johns Pl #E, Brooklyn, NY 11217"
"5",908000,0,"1",1066,"Park Slope","sold","397 1st St #4R, Brooklyn, NY 11215"
"6",1270000,2,"1",NA,"Park Slope","sold","509 2nd St #1R, Brooklyn, NY 11215"
"7",2600000,5,"4",3600,"Park Slope","sold","645 Carroll St, Brooklyn, NY 11215"
"8",4050000,4,"4",3600,"Park Slope","sold","538 9th St #4, Brooklyn, NY 11215"
"9",2400000,3,"3",1428,"Park Slope","sold","910 Union St #7A, Brooklyn, NY 11215"
"10",750000,1,"1",566,"Park Slope","sold","180 Sterling Pl #15, Brooklyn, NY 11217"
"11",4296390,5,"3",2688,"Park Slope","sold","463 1st St, Brooklyn, NY 11215"
"12",560000,1,"1",NA,"Park Slope","sold","195 Prospect Park W #3D, Brooklyn, NY 11215"
"13",2960000,3,"3",1604,"Park Slope","sold","133 Sterling Pl #2A, Brooklyn, NY 11217"
"14",4250000,0,"1",4780,"Park Slope","sold","236 Flatbush Ave, Brooklyn, NY 11217"
"15",2040000,3,"2",NA,"Park Slope","sold","808 8th Ave #4-R, Brooklyn, NY 11215"
"16",555000,2,"1",NA,"Park Slope","sold","525 5th St #4L, Brooklyn, NY 11215"
"17",1402000,3,"1",NA,"Park Slope","sold","457 3rd St #2L, Brooklyn, NY 11215"
"18",3950000,4,"4",3072,"Park Slope","sold","422 16th St, Brooklyn, NY 11215"
"19",8e+05,0,"1",1620,"Park Slope","sold","441 18th St, Brooklyn, NY 11215"
"20",2890255,2,"3",2682,"Park Slope","sold","432 10th St #1, Brooklyn, NY 11215"
"21",230000,0,"1",NA,"Park Slope","sold","300 8th Ave #6G, Brooklyn, NY 11215"
"22",949000,2,"1",2610,"Park Slope","sold","684 10th St #4, Brooklyn, NY 11215"
"23",3050000,4,"4",2430,"Park Slope","sold","338 7th St #A, Brooklyn, NY 11215"
"24",1400000,0,"1",NA,"Park Slope","sold","111 8th Ave #12, Brooklyn, NY 11215"
"25",1025000,0,"1",969,"Park Slope","sold","279-285 Prospect Park W #1C, Brooklyn, NY 11215"
